id,eeg,annotation
N09,-73.5307462755589,1
N09,-73.3042183365714,1
N09,-71.5857153728769,1
N09,-68.8467812450589,1
N09,-66.7148605756852,1
N09,-68.0025308149699,1
N09,-66.5606425650152,1
N09,-65.7162643629431,1
N09,-66.1575620901329,1
N09,-67.2419388809954,1
N09,-65.4134446570078,1
N09,-65.190937930659,1
N09,-60.4141564257458,1
N09,-55.6374162487969,1
N09,-53.7856042461202,1
N09,-49.5448410326054,1
N09,-44.1566577416664,1
N09,-37.7371860710759,1
N09,-36.9534742100311,1
N09,-32.7012868238307,1
N09,-28.4433929745866,1
N09,-25.4564890129833,1
N09,-26.8879482453268,1
N09,-24.9471025793403,1
N09,-22.7421514006798,1
N09,-20.32477145218,1
N09,-19.3898382973169,1
N09,-22.510232885114,1
N09,-24.8224414052738,1
N09,-25.3615532642647,1
N09,-29.849423278401,1
N09,-35.5850170020428,1
N09,-37.7522252047115,1
N09,-39.6832597204,1
N09,-43.5029740329528,1
N09,-44.2018960706774,1
N09,-44.6521509831027,1
N09,-43.7650990221992,1
N09,-47.4560382005549,1
N09,-49.6144246880571,1
N09,-52.2808063753315,1
N09,-51.4997371376301,1
N09,-54.2266671906909,1
N09,-54.3961912195693,1
N09,-50.6927508349929,1
N09,-47.45227852793,1
N09,-47.3748972641004,1
N09,-47.4160916049012,1
N09,-47.9855924685332,1
N09,-45.7464538049125,1
N09,-44.6253522563815,1
N09,-39.2716159797363,1
N09,-33.4833982053261,1
N09,-29.2603886892477,1
N09,-30.1724550619562,1
N09,-30.3313441129229,1
N09,-27.1414289246646,1
N09,-24.4916704720328,1
N09,-22.4698771968542,0
N09,-20.1800114752667,0
N09,-20.5752983452847,0
N09,-22.3618570261684,0
N09,-17.367041723064,0
N09,-13.2995199884597,0
N09,-10.2361337515636,0
N09,-10.2059021975479,0
N09,-9.65537267234573,0
N09,-7.1613909864564,0
N09,-5.87521539159401,0
N09,-1.57443910265751,0
N09,1.78958191678211,0
N09,6.13479709606579,0
N09,9.90098926639412,0
N09,13.9052222795688,0
N09,16.1974635676282,0
N09,14.169553224128,0
N09,15.916301362797,0
N09,16.1523182297012,0
N09,16.549412104998,0
N09,19.9490431689902,0
N09,21.0083273545087,0
N09,21.1208479857082,0
N09,19.1769642176501,0
N09,18.7505626165753,0
N09,17.5724164959633,0
N09,14.2633149452343,0
N09,14.6561038300286,0
N09,11.7220296292622,0
N09,9.2053282691665,0
N09,10.2316417354505,0
N09,6.69566955507899,0
N09,5.08660504250739,0
N09,4.22958732664697,0
N09,1.98424604494021,0
N09,1.38220023482648,0
N09,1.02260292346508,0
N09,-0.738314783616567,0
N09,-2.98655272183584,0
N09,-3.53476478799306,0
N09,-2.64391879878181,0
N09,-5.75643273962612,0
N09,-9.82821542370918,0
N09,-11.6141948980695,0
N09,-14.1915480270396,0
N09,-17.9921453514705,0
N09,-21.2146788843662,0
N09,-19.725236751625,0
N09,-20.302268879399,0
N09,-27.4116044375458,0
N09,-33.0235621023724,0
N09,-40.743595541948,0
N09,-45.2215940372251,0
N09,-50.4471477320202,0
N09,-53.1190150497955,0
N09,-48.5716130381217,0
N09,-53.5840693576407,0
N09,-56.3213590543158,0
N09,-54.1400155751296,0
N09,-53.6431144373533,0
N09,-54.2926507991547,0
N09,-54.8169560174808,0
N09,-57.7532113338459,0
N09,-55.3178014550192,0
N09,-49.6455938179859,0
N09,-48.2583258670885,0
N09,-47.2188669968038,0
N09,-45.8777764533978,0
N09,-42.384559258475,0
N09,-40.4526046867711,0
N09,-40.3193776117732,0
N09,-40.5193757894107,0
N09,-41.2639978899962,0
N09,-43.0200789666979,0
N09,-41.3005683656554,0
N09,-42.6471275292024,0
N09,-39.4730826147842,0
N09,-40.0267833851148,0
N09,-41.0078587459422,0
N09,-43.6548207289768,0
N09,-43.3391535262081,0
N09,-43.1874943830112,0
N09,-43.3396439096995,0
N09,-43.6870257397806,0
N09,-43.6032364866145,0
N09,-44.5164726702353,0
N09,-44.1471962322761,0
N09,-46.3440706884415,0
N09,-46.7655501263788,0
N09,-48.3361062706676,0
N09,-43.4988829536286,0
N09,-48.134153870827,0
N09,-45.2555326147177,0
N09,-48.6194233692911,0
N09,-45.6609207702141,0
N09,-46.2292186133954,0
N09,-45.5585239339821,0
N09,-40.8308873932961,0
N09,-42.5013525848442,0
N09,-41.9547765472713,0
N09,-36.6872329641486,0
N09,-31.7481575446795,0
N09,-29.0932803043794,0
N09,-25.365043367948,0
N09,-23.96016153343,0
N09,-23.1636980013081,0
N09,-21.7898973858564,0
N09,-25.7054942922627,0
N09,-23.5027015112201,0
N09,-25.6942238625847,0
N09,-28.6457668298132,0
N09,-28.1923325476088,0
N09,-34.2298053032856,0
N09,-37.1879900384183,0
N09,-39.0076834538549,0
N09,-38.5791193435936,0
N09,-41.1442091166253,0
N09,-43.5430971044384,0
N09,-46.1923815932032,0
N09,-45.8048453547123,0
N09,-49.4356610351986,0
N09,-52.3332228510354,0
N09,-56.8844570508336,0
N09,-63.6758323177937,0
N09,-66.6185436545206,0
N09,-65.5971052304401,0
N09,-64.5372201977993,0
N09,-66.6939328005365,0
N09,-66.9061211896895,0
N09,-65.0578269178262,0
N09,-67.0135744784803,0
N09,-68.3079757019146,0
N09,-68.8478693496396,0
N09,-69.4588263373761,0
N09,-69.3434692559075,0
